smiles,n_train_rows,n_test_rows,train_targets,test_targets,same_target_in_both,train_activity_values,test_activity_values,train_activity_mean,test_activity_mean,delta_activity_mean,abs_delta_activity_mean,train_Score_values,test_Score_values,train_Score_mean,test_Score_mean,delta_Score_mean,abs_delta_Score_mean
CCN1CC(C)CC(OC2=CC=C3C(=O)N(C4CCC(=O)NC4=O)CC3=C2)C1,1,1,SALL4,WIZ,False,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CCN1C[C@H](OC2=CC=C3C(=O)N(C4CCC(=O)NC4=O)CC3=C2)CC[C@@H]1C,1,1,SALL4,WIZ,False,0,4,0.0,4.0,4.0,4.0,0.0,0.8,0.0,0.8,0.8,0.8
CCOC1=CC=C2C=C(C(=O)NC3=CC=C4C(=O)N(C5CCC(=O)NC5=O)CC4=C3)C=CC2=C1,1,1,CK1α,IKZF2,False,3,3,3.0,3.0,0.0,0.0,0.5,0.6,0.5,0.6,0.09999999999999998,0.09999999999999998
CC[C@H](C(=O)N1CCCC[C@H]1C(=O)O[C@H](CCC1=CC=C(OC)C(OC)=C1)C1=CC=CC=C1OCC(=O)NCCCCCCOC1=CC=CC2=C1C(=O)N(C1CCC(=O)NC1=O)C2=O)C1=CC(OC)=C(OC)C(OC)=C1,8,3,E4F1; IKZF3; IKZF3Q147E; PATZ1; ZKSC5; ZNF582; ZNF653; ZNF827,ZFP91; ZNF276; ZNF654,False,0; 0; 0; 0; 0; 0; 0; 0,0; 2; 0,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0,0.0; 0.4; 0.0,0.0,0.13333333333333333,0.13333333333333333,0.13333333333333333
CN(C)C1=CC=C2C=C(CNC3=CC=C4C(=O)N(C5CCC(=O)NC5=O)CC4=C3)C=CC2=C1,1,1,IKZF2,IKZF1,False,0,2,0.0,2.0,2.0,2.0,0.0,0.2,0.0,0.2,0.2,0.2
CN(C)C1=CC=CC2=C1C(=O)N(C1CCC(=O)NC1=O)C2=O,4,1,ZNF276; ZNF653; ZNF654; ZNF787,E4F1,False,3; 3; 3; 3,3,3.0,3.0,0.0,0.0,0.6; 0.6; 0.6; 0.6,0.6,0.6,0.6,0.0,0.0
CN1CC2=C(C=CC=C2NCC2=CC=C(CN3CCN(C4=CC(F)=C(C#N)C=C4)CC3)C=C2)C(=O)N1C1CCC(=O)NC1=O,3,1,CK1α; IKZF1; IKZF2,IKZF3,False,4; 4; 3,4,3.6666666666666665,4.0,0.3333333333333335,0.3333333333333335,0.8; 0.8; 0.6,0.8,0.7333333333333334,0.8,0.06666666666666665,0.06666666666666665
CN1N=C(N)C2=NC(C3=CC=C4C(=O)N(C5CCC(=O)NC5=O)CC4=C3)=CC(CN3CCCC3)=C21,1,1,CK1α,IKZF2,False,3,4,3.0,4.0,1.0,1.0,0.4,0.8,0.4,0.8,0.4,0.4
COC(=O)C12C3C4C1C1C2C3C41C(=O)NC1=CC2=C(C=C1)C(=O)N(C1CCC(=O)NC1=O)C2=O,1,1,ZNF654,ZNF787,False,2,2,2.0,2.0,0.0,0.0,0.4,0.4,0.4,0.4,0.0,0.0
COC1=C2C=CC(CNC3=CC=C4C(=O)N(C5CCC(=O)NC5=O)CC4=C3)=CC2=CC=C1,1,1,IKZF2,IKZF1,False,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COC1=CC=C(OC2=CC=C(C(=O)NC3=CC=C4C(=O)N(C5CCC(=O)NC5=O)CC4=C3)C=C2)C=C1,1,1,CK1α,IKZF2,False,2,2,2.0,2.0,0.0,0.0,0.266666667,0.266666667,0.266666667,0.266666667,0.0,0.0
COC1=CC=C2C=C(C(=O)NC3=CC=C4C(=O)N(C5CCC(=O)NC5=O)CC4=C3)C=CC2=C1,1,2,CK1α,IKZF1; IKZF2,False,4,3; 4,4.0,3.5,-0.5,0.5,0.8,0.6; 0.666666667,0.8,0.6333333335,-0.16666666650000006,0.16666666650000006
COC1=CC=C2C=C(C(=O)NC3=CC=C4C(=O)N(C5CCC(=O)NC5=O)CC4=C3)COC2=C1,1,1,CK1α,IKZF2,False,3,3,3.0,3.0,0.0,0.0,0.5,0.4,0.5,0.4,-0.09999999999999998,0.09999999999999998
COC1=CC=C2C=CC(CNC3=CC=C4C(=O)N(C5CCC(=O)NC5=O)CC4=C3)=CC2=C1,1,1,IKZF2,IKZF1,False,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COC1=CC=CC2=C1OCC(C(=O)NC1=CC=C3C(=O)N(C4CCC(=O)NC4=O)CC3=C1)=C2,1,1,IKZF2,CK1α,False,3,3,3.0,3.0,0.0,0.0,0.6,0.5,0.6,0.5,-0.09999999999999998,0.09999999999999998
